id,source_website,source_label,source_url,geo_validation,author,review_date,rating,sentiment,review_text,tier1,tier2,tier3
rvw-000067,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-boston-175285312088477#review-2,birdeye_us_profile,Rj Jr,2026-06-25,,positive,"Angelica is such a great help, she can get issues solved smoothly, the Auction is very well organized with a nice friendly environment.",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",How to Bid (First Time)
rvw-000068,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-atlanta-175285312123278#review-1,birdeye_us_profile,Libass Thiam,2026-06-02,,negative,"I have been doing business over a decade without complaint until today after I bought my 5th car in a row with them on green light. It happened that after I requested for a Psi over the phone the same day I purchased the cars and even the week after which means last week I called several times to get my Psi results and could not get them to do it til a coworker who works with me check that we have that car in our inventory and pick it up drove 20 miles and the engine oil, coolant and all starts licking. My issues is I will n... read more","Lot Condition, Listing Status and related",Listing Status,Selling/ Relisting vehicle or Parts purchase
rvw-000069,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-atlanta-175285312123278#review-2,birdeye_us_profile,All Things Porsche,2026-06-02,,positive,I wish I could leave the team here 500 starts. One of the best auctions I have ever had the pleasure of dealing with. Always responsive to all requests and emails. Forget 500 starts -- how about 5000!!!!,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
rvw-000070,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-greater-kalamazoo-175285312088026#review-2,birdeye_us_profile,Peter Schultz,2026-06-02,,negative,"Friendly people, but astronomical fees. Paid $15100 for a green light gold certified car and ended up with an $845 fee including a $75 online bid fee. Really? Adesa only charges $50 for this ridiculous money grab! But the base fee was over $700 for a car that should have had a $550 fee anywhere else. So buyers, be ready to add a few hundred to your fees when bidding here.",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000057,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-atlanta-175285312123278#review-1,birdeye_us_profile,Devein Grubbs,2026-05-27,,positive,Real slow auction. Don’t recommend going.,Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",How to Bid (First Time)
rvw-000058,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-greater-kalamazoo-175285312088026#review-2,birdeye_us_profile,Peter Schultz,2026-05-27,,negative,"Friendly people, but astronomical fees. Paid $15100 for a green light gold certified car and ended up with an $845 fee including a $75 online bid fee. Really? Adesa only charges $50 for this ridiculous money grab! But the base fee was over $700 for a car that should have had a $550 fee anywhere else. So buyers, be ready to add a few hundred to your fees when bidding here.",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000046,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-greater-kalamazoo-175285312088026#review-2,birdeye_us_profile,Peter Schultz,2026-05-17,,negative,"Friendly people, but astronomical fees. Paid $15100 for a green light gold certified car and ended up with an $845 fee including a $75 online bid fee. Really? Adesa only charges $50 for this ridiculous money grab! But the base fee was over $700 for a car that should have had a $550 fee anywhere else. So buyers, be ready to add a few hundred to your fees when bidding here.",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000047,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-atlanta-175285312123278#review-1,birdeye_us_profile,Devein Grubbs,2026-05-15,,positive,Real slow auction. Don’t recommend going.,Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",How to Bid (First Time)
rvw-000071,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-atlanta-175285312123278#review-4,birdeye_us_profile,Devein Grubbs,2026-05-03,,positive,Real slow auction. Don’t recommend going.,Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",How to Bid (First Time)
rvw-000036,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-atlanta-175285312123278#review-1,birdeye_us_profile,Devein Grubbs,2026-04-30,,positive,Real slow auction. Don’t recommend going.,Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",How to Bid (First Time)
rvw-000048,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-kansas-city-175285312126035#review-4,birdeye_us_profile,Michael Campbell,2026-04-15,,negative,"Biggest joke of an auction, went at 745am on auction day. They don’t have keys on cars to look at them, 70% of the cars I was looking at were locked. Don’t waste your time here Along with OUTRAGEOUS buy fees. Works out to be 3-4x in buy fees than any other auction",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000037,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-kansas-city-175285312126035#review-4,birdeye_us_profile,Michael Campbell,2026-04-02,,negative,"Biggest joke of an auction, went at 745am on auction day. They don’t have keys on cars to look at them, 70% of the cars I was looking at were locked. Don’t waste your time here Along with OUTRAGEOUS buy fees. Works out to be 3-4x in buy fees than any other auction",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000025,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-kansas-city-175285312126035#review-4,birdeye_us_profile,Michael Campbell,2026-03-29,,negative,"Biggest joke of an auction, went at 745am on auction day. They don’t have keys on cars to look at them, 70% of the cars I was looking at were locked. Don’t waste your time here Along with OUTRAGEOUS buy fees. Works out to be 3-4x in buy fees than any other auction",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000059,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-boston-175285312088477#review-3,birdeye_us_profile,Denis Carvalho,2026-03-28,,negative,"Fees for either buyer and sellers are insanely high, and undisclosed when even asked if you are a seller.",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000001,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-kansas-city-175285312126035#review-2,birdeye_us_profile,Michael Campbell,2026-03-27,,negative,"Biggest joke of an auction, went at 745am on auction day. They don’t have keys on cars to look at them, 70% of the cars I was looking at were locked. Don’t waste your time here Along with OUTRAGEOUS buy fees. Works out to be 3-4x in buy fees than any other auction",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000002,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-kansas-city-175285312126035?page=2#review-2,birdeye_us_profile,Michael Campbell,2026-03-27,,negative,"Biggest joke of an auction, went at 745am on auction day. They don’t have keys on cars to look at them, 70% of the cars I was looking at were locked. Don’t waste your time here Along with OUTRAGEOUS buy fees. Works out to be 3-4x in buy fees than any other auction",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000003,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-boston-175285312088477#review-2,birdeye_us_profile,Denis Carvalho,2026-03-18,,negative,"Fees for either buyer and sellers are insanely high, and undisclosed when even asked if you are a seller.",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000004,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-boston-175285312088477?page=2#review-2,birdeye_us_profile,Denis Carvalho,2026-03-18,,negative,"Fees for either buyer and sellers are insanely high, and undisclosed when even asked if you are a seller.",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000049,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-boston-175285312088477#review-3,birdeye_us_profile,Denis Carvalho,2026-03-16,,negative,"Fees for either buyer and sellers are insanely high, and undisclosed when even asked if you are a seller.",Membership / Licensing / Fees & Bidding Policies,"Bidding Process, Rules and Fees",Fees
rvw-000072,birdeye.com,Birdeye (Google),https://reviews.birdeye.com/americas-auto-auction-166687512715050#review-5,birdeye_us_profile,David Schmucker,2026-03-04,,positive,Would not recommend. Staff is incredible dude and was yelling at me when making a delivery.,Customer Service & Communication,Agent Professionalism & Responsiveness,Helpful Support Experience
